last_name,first_name,birthdate,phone,educ,position,department,skills,rate
Абрамов,Афанасій,1967-05-24,+380675764938,вища,завідувач відділу,Фінансовий відділ,1С Бухгалтерія,7238
Абрамов,Іван,1988-09-19,+380457668521,середня,стажер,Фінансовий відділ,MS Office,3500
Абрамов,Ігнатій,1988-09-22,+380577843547,вища,web-програміст,Відділ проєктування,"PHP, JavaScript, Drupal",9200
Шевченко,Інна,1977-04-25,+380612836579,середня,стажер,Відділ проєктування,"PHP, JavaScript",4305
Ігнатьєв,Іван,1995-07-22,+380452232707,вища,програміст,Відділ проєктування,"C#, C++",15450
Степанова,Ганна,1989-06-21,+380358470001,середня,програміст,Відділ проєктування,Java,7900
Федоров,Іван,1958-08-19,+380533309578,вища,адміністратор БД,Відділ проєктування,DB 2,9500
Федоров,Ігнатій,1978-05-27,+380612896068,середня,адміністратор БД,Відділ проєктування,Oracle DB,8500
Кириленко,Іван,1977-12-12,+380545903940,середня,системний адміністратор,Відділ проєктування,"Windows Server, Unix Server",10300
Іваненко,Анастасія,1994-04-04,+380457645345,вища,бухгалтер,Фінансовий відділ,1С Бухгалтерія,7500
